Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-08,Gwent Police,GB83,2,0,2,1,23,2,0,2,0,0,0
2012-08,Gwent Police,GB82,2,0,0,6,34,7,2,1,2,0,3
2012-08,Gwent Police,GB81,3,0,6,1,35,9,1,3,3,1,0
2012-08,Gwent Police,MM88,0,0,0,0,5,0,0,1,0,0,0
2012-08,Gwent Police,MM89,0,0,0,0,0,0,0,3,1,0,0
2012-08,Gwent Police,CP84,2,0,1,1,14,18,0,4,1,0,0
2012-08,Gwent Police,CP81,1,0,4,5,26,5,4,12,3,0,0
2012-08,Gwent Police,CP83,6,0,2,1,40,33,0,10,0,0,0
2012-08,Gwent Police,CP82,9,1,3,2,24,4,9,14,1,0,0
2012-08,Gwent Police,CG82,3,0,0,0,4,3,1,0,0,1,0
2012-08,Gwent Police,CG83,2,0,0,2,19,3,3,4,1,0,0
2012-08,Gwent Police,CG81,5,0,1,3,31,4,1,6,2,1,0
2012-08,Gwent Police,GT81,6,0,3,2,44,11,4,8,2,0,0
2012-08,Gwent Police,GT83,3,0,2,0,18,5,0,3,0,0,0
2012-08,Gwent Police,CG85,10,0,1,0,14,2,0,5,5,0,0
2012-08,Gwent Police,NM83,3,0,6,2,24,6,2,2,0,0,0
2012-08,Gwent Police,NM82,11,0,9,1,60,15,2,9,3,0,0
2012-08,Gwent Police,NM81,12,2,3,5,51,2,2,9,6,0,3
2012-08,Gwent Police,NM87,4,0,3,1,8,2,0,5,0,0,0
2012-08,Gwent Police,NM86,1,0,3,2,8,4,0,2,0,0,0
2012-08,Gwent Police,NM85,9,0,3,1,40,7,1,6,1,0,0
2012-08,Gwent Police,GE84,2,0,1,0,5,1,0,3,1,1,1
2012-08,Gwent Police,GE85,2,0,5,0,19,3,0,5,0,0,0
2012-08,Gwent Police,GE86,4,0,0,0,17,1,3,4,1,0,0
2012-08,Gwent Police,GE81,6,0,5,3,22,6,7,3,3,2,2
2012-08,Gwent Police,GE82,3,0,4,1,21,1,8,5,3,0,0
2012-08,Gwent Police,GE83,2,0,1,0,10,2,0,1,0,0,0
2012-08,Gwent Police,CY84,1,0,0,0,17,3,4,4,0,0,0
2012-08,Gwent Police,MH82,0,0,1,0,5,2,0,0,0,0,0
2012-08,Gwent Police,GA81,3,0,4,0,22,7,0,3,0,0,0
2012-08,Gwent Police,GA82,2,0,6,0,16,6,0,2,3,0,1
2012-08,Gwent Police,GA83,2,0,5,0,7,2,1,3,1,0,0
2012-08,Gwent Police,GA84,1,0,2,2,30,7,0,5,1,0,0
2012-08,Gwent Police,CY86,7,0,2,0,36,5,0,3,1,0,0
2012-08,Gwent Police,CC86,0,0,1,1,31,3,1,2,0,0,0
2012-08,Gwent Police,CC85,2,0,0,4,17,4,0,1,0,2,0
2012-08,Gwent Police,CC82,7,0,2,1,11,3,0,2,0,0,0
2012-08,Gwent Police,CC83,2,0,1,1,28,3,0,9,2,1,2
2012-08,Gwent Police,CC81,15,0,4,4,48,11,18,9,4,8,2
2012-08,Gwent Police,CY81,1,0,1,5,21,2,6,5,1,1,0
2012-08,Gwent Police,CY82,2,0,0,0,4,0,0,1,0,0,0
2012-08,Gwent Police,CY83,0,0,0,0,0,0,0,0,0,0,0
2012-08,Gwent Police,MM87,0,0,0,0,4,0,0,0,1,0,0
2012-08,Gwent Police,MA88,0,0,0,0,0,3,0,0,0,0,0
2012-08,Gwent Police,MA89,0,0,1,0,0,0,0,0,0,0,0
2012-08,Gwent Police,MM82,0,0,0,0,3,0,1,0,0,0,0
2012-08,Gwent Police,MM83,1,0,1,0,6,0,0,3,0,0,0
2012-08,Gwent Police,MM81,3,0,0,0,12,3,14,1,1,0,0
2012-08,Gwent Police,MA82,1,0,4,0,4,2,0,1,1,0,0
2012-08,Gwent Police,MA83,3,0,2,0,12,4,1,3,2,1,0
2012-08,Gwent Police,MA81,2,0,3,1,8,5,0,3,0,1,0
2012-08,Gwent Police,MA86,4,0,1,2,5,4,2,0,0,0,0
2012-08,Gwent Police,MA87,0,0,2,0,4,0,0,0,0,0,0
2012-08,Gwent Police,MA84,2,0,1,1,10,4,0,1,1,0,0
2012-08,Gwent Police,MA85,2,0,1,1,20,2,0,0,1,0,0
2012-08,Gwent Police,CR87,2,0,1,1,13,2,0,1,2,2,0
2012-08,Gwent Police,CR86,4,0,3,0,17,5,0,2,2,2,0
2012-08,Gwent Police,CR85,3,0,4,3,25,4,0,2,0,0,0
2012-08,Gwent Police,CR84,2,0,1,2,25,4,0,2,4,0,1
2012-08,Gwent Police,CR83,0,0,0,0,8,2,0,4,1,0,0
2012-08,Gwent Police,CR82,2,0,3,2,33,1,0,4,0,1,0
2012-08,Gwent Police,CR81,5,1,1,2,30,7,1,4,4,0,0
2012-08,Gwent Police,MA91,2,1,2,2,9,3,0,1,0,0,0
2012-08,Gwent Police,MA90,3,0,4,0,9,3,2,2,0,0,0
2012-08,Gwent Police,MA93,3,0,1,1,2,0,0,0,0,0,0
2012-08,Gwent Police,MA92,2,0,0,0,15,0,0,1,0,0,0
2012-08,Gwent Police,MM91,0,0,3,0,7,2,0,1,0,0,0
2012-08,Gwent Police,MM90,1,0,2,0,2,0,0,8,2,0,0
2012-08,Gwent Police,MM93,2,0,1,0,0,0,0,1,0,0,0
2012-08,Gwent Police,MM92,1,0,0,0,0,0,0,1,0,0,0
2012-08,Gwent Police,NL82,2,0,1,1,28,2,3,5,3,0,0
2012-08,Gwent Police,NL83,1,0,6,2,17,2,0,2,5,0,1
2012-08,Gwent Police,NL81,15,1,3,2,78,16,25,20,9,2,1
2012-08,Gwent Police,NL84,8,0,2,1,54,6,7,3,6,0,0
2012-08,Gwent Police,TP81,0,0,2,2,26,5,7,3,1,1,0
2012-08,Gwent Police,CD81,8,0,0,2,44,9,0,6,4,0,1
2012-08,Gwent Police,CD82,2,0,3,1,31,16,0,6,0,0,0
2012-08,Gwent Police,TP89,2,0,0,1,10,0,0,2,0,0,0
2012-08,Gwent Police,CH85,4,0,2,2,33,3,0,2,1,1,1
2012-08,Gwent Police,CH84,1,0,1,1,13,3,0,0,1,0,0
2012-08,Gwent Police,CH81,3,0,4,2,13,2,3,2,0,0,0
2012-08,Gwent Police,CH83,1,0,1,0,5,1,0,3,0,0,0
2012-08,Gwent Police,CH82,5,0,4,0,12,5,1,0,0,0,0
2012-08,Gwent Police,MH88,1,0,0,0,1,1,0,0,0,0,0
2012-08,Gwent Police,MH83,4,0,0,0,1,0,0,1,0,0,0
2012-08,Gwent Police,CY85,2,0,3,2,23,5,0,1,4,0,0
2012-08,Gwent Police,MH81,0,0,1,1,17,1,1,4,8,0,0
2012-08,Gwent Police,MH87,0,0,0,0,15,2,0,3,1,0,0
2012-08,Gwent Police,MH86,0,0,1,0,4,1,0,1,0,0,0
2012-08,Gwent Police,MH85,0,0,3,0,15,3,0,1,0,0,0
2012-08,Gwent Police,MH84,3,0,1,1,13,0,1,1,1,1,0
2012-08,Gwent Police,TC90,3,0,0,1,24,3,0,3,0,0,0
2012-08,Gwent Police,TC91,0,0,3,0,15,1,0,2,2,2,0
2012-08,Gwent Police,TC92,3,0,1,2,15,2,0,2,1,0,0
2012-08,Gwent Police,NC81,6,2,7,20,138,17,55,31,18,0,2
2012-08,Gwent Police,MC88,4,0,0,3,4,3,0,0,0,0,0
2012-08,Gwent Police,MC89,3,0,2,1,12,1,0,5,0,0,1
2012-08,Gwent Police,TP82,2,0,0,0,17,3,1,0,1,1,0
2012-08,Gwent Police,TP83,0,0,0,0,12,0,0,2,1,0,0
2012-08,Gwent Police,TP84,4,0,1,2,6,2,0,1,0,0,0
2012-08,Gwent Police,TP85,2,0,3,0,35,3,1,3,2,0,0
2012-08,Gwent Police,TP86,6,0,5,2,36,5,3,1,1,0,1
2012-08,Gwent Police,TP87,5,0,3,3,31,9,0,4,3,0,0
2012-08,Gwent Police,TP88,5,0,0,2,21,2,0,1,0,1,0
2012-08,Gwent Police,MC81,1,0,0,1,19,0,0,1,4,0,0
2012-08,Gwent Police,MC82,1,0,0,0,6,1,0,1,1,0,0
2012-08,Gwent Police,MC83,0,0,1,0,2,0,0,0,2,0,0
2012-08,Gwent Police,MC84,0,0,0,0,0,1,0,3,0,0,0
2012-08,Gwent Police,MC85,0,0,0,0,6,0,0,1,1,0,1
2012-08,Gwent Police,MC86,0,0,0,3,8,2,0,0,0,0,0
2012-08,Gwent Police,MC87,1,0,0,0,3,0,0,2,0,0,0
2012-08,Gwent Police,NA86,11,0,10,2,113,15,9,18,7,0,2
2012-08,Gwent Police,NA82,3,0,2,3,43,10,3,9,3,1,0
2012-08,Gwent Police,NA81,6,1,6,4,47,9,1,3,4,0,0
2012-08,Gwent Police,GT82,3,0,3,1,32,6,0,11,2,0,0
2012-08,Gwent Police,TC89,1,0,0,2,30,2,4,0,0,0,0
2012-08,Gwent Police,TC88,1,0,5,3,33,8,1,6,1,0,0
2012-08,Gwent Police,TC83,1,0,0,1,9,1,0,0,0,0,0
2012-08,Gwent Police,TC82,1,0,0,0,5,1,2,0,0,0,0
2012-08,Gwent Police,TC81,10,0,6,2,61,15,23,10,1,0,2
2012-08,Gwent Police,TC87,2,0,1,3,36,7,1,4,0,0,0
2012-08,Gwent Police,TC86,7,0,0,2,34,9,1,1,4,0,0
2012-08,Gwent Police,TC85,2,0,1,0,13,2,0,0,0,0,0
2012-08,Gwent Police,TC84,0,0,2,0,2,1,0,0,0,0,0
2012-08,Gwent Police,TP92,6,0,4,0,15,2,0,2,5,0,0
2012-08,Gwent Police,TP91,4,0,1,1,44,3,0,4,3,0,0
2012-08,Gwent Police,TP90,0,0,1,1,15,3,0,3,0,0,0
2012-08,Gwent Police,MC90,0,0,0,0,4,1,0,0,2,0,1
2012-08,Gwent Police,MM84,1,0,2,1,8,2,1,0,0,0,1
2012-08,Gwent Police,MM85,3,0,3,0,4,0,0,1,0,0,0
2012-08,Gwent Police,NB84,1,0,5,1,8,3,0,6,1,0,0
2012-08,Gwent Police,NB85,8,0,9,1,31,5,3,5,2,1,0
2012-08,Gwent Police,NB86,4,0,2,3,25,6,6,6,2,0,1
2012-08,Gwent Police,NB81,2,0,6,1,85,9,4,4,6,0,0
2012-08,Gwent Police,NB82,4,0,5,1,27,4,2,4,1,0,0
2012-08,Gwent Police,NB83,2,0,5,3,47,7,7,9,2,0,1
