Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-11,Northamptonshire Police,SCT112,9,0,9,10,26,4,9,13,2,1,2
2012-11,Northamptonshire Police,SCT141,12,2,20,43,93,22,16,22,6,7,7
2012-11,Northamptonshire Police,SCT164,74,10,71,94,256,66,31,51,21,14,19
2012-11,Northamptonshire Police,SCT152,13,0,7,12,33,12,4,18,1,1,6
2012-11,Northamptonshire Police,SCT165,43,6,69,73,173,67,37,55,7,6,10
2012-11,Northamptonshire Police,SCT151,29,0,27,38,99,22,6,18,9,4,22
2012-11,Northamptonshire Police,SCT101,6,0,9,5,28,11,2,11,2,1,0
2012-11,Northamptonshire Police,SCT103,11,0,15,10,75,13,2,8,3,1,5
2012-11,Northamptonshire Police,SCT102,39,1,36,25,150,65,20,14,9,3,5
2012-11,Northamptonshire Police,SCT163,54,4,62,65,243,53,38,34,9,11,6
2012-11,Northamptonshire Police,SCT162,38,12,50,117,299,54,76,169,25,22,11
2012-11,Northamptonshire Police,SCT111,40,1,23,59,223,61,26,55,9,6,20
2012-11,Northamptonshire Police,SCT122,30,1,23,34,107,22,4,17,1,4,3
2012-11,Northamptonshire Police,SCT121,43,5,46,61,272,52,79,72,15,11,19
2012-11,Northamptonshire Police,SCT142,27,1,32,31,69,23,2,23,8,4,15
2012-11,Northamptonshire Police,SCT131,59,4,35,59,206,69,58,53,7,3,8
2012-11,Northamptonshire Police,SCT132,13,0,17,11,75,16,14,5,0,2,2
