Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-08,Merseyside Police,C4,11,1,13,12,61,18,13,20,16,5,14
2012-08,Merseyside Police,A1,24,1,10,53,282,40,38,26,34,9,9
2012-08,Merseyside Police,C5,27,3,27,23,153,44,17,23,20,17,14
2012-08,Merseyside Police,A3,3,1,7,6,66,10,2,12,9,1,2
2012-08,Merseyside Police,A2,14,0,21,19,152,14,9,17,11,7,1
2012-08,Merseyside Police,A5,23,3,18,35,203,47,20,24,22,13,3
2012-08,Merseyside Police,A4,5,1,9,14,133,23,11,16,12,9,7
2012-08,Merseyside Police,A7,19,3,12,15,185,33,16,31,12,5,15
2012-08,Merseyside Police,A6,41,4,13,65,320,63,59,36,32,23,5
2012-08,Merseyside Police,E5,61,1,22,37,308,44,8,32,36,15,3
2012-08,Merseyside Police,A8,6,0,6,2,37,3,3,8,4,0,1
2012-08,Merseyside Police,E7,23,5,27,37,214,31,8,28,42,9,12
2012-08,Merseyside Police,E6,29,4,21,22,125,49,27,18,28,12,8
2012-08,Merseyside Police,E1,30,11,36,92,332,48,132,250,91,61,16
2012-08,Merseyside Police,E3,13,4,15,24,151,24,5,21,12,9,9
2012-08,Merseyside Police,E2,72,9,27,69,336,86,54,37,62,22,19
2012-08,Merseyside Police,E4,50,8,27,48,365,78,20,46,48,10,15
2012-08,Merseyside Police,C3,12,0,10,33,135,42,1,20,58,18,1
2012-08,Merseyside Police,C2,22,0,13,14,124,31,14,13,25,6,8
2012-08,Merseyside Police,C1,7,0,8,12,110,21,0,5,32,5,4
2012-08,Merseyside Police,F1,36,4,28,19,142,36,14,30,38,16,6
2012-08,Merseyside Police,F2,35,3,29,44,233,52,30,35,46,16,9
2012-08,Merseyside Police,F3,16,3,20,3,76,13,11,15,16,6,6
2012-08,Merseyside Police,F4,20,0,20,21,131,33,32,33,32,6,11
2012-08,Merseyside Police,F5,26,3,24,16,138,35,17,26,33,3,9
2012-08,Merseyside Police,F6,0,0,0,1,1,2,1,5,9,1,0
2012-08,Merseyside Police,B4,20,0,20,19,78,16,25,20,6,3,4
2012-08,Merseyside Police,B5,41,1,18,19,139,28,3,25,20,4,7
2012-08,Merseyside Police,B6,32,0,19,24,120,22,21,30,10,2,9
2012-08,Merseyside Police,B7,13,1,5,19,109,12,26,35,10,3,15
2012-08,Merseyside Police,B1,14,0,9,21,190,41,15,28,61,20,11
2012-08,Merseyside Police,B2,39,1,16,35,137,26,9,25,30,12,2
2012-08,Merseyside Police,B3,36,2,24,36,277,58,5,25,51,18,15
2012-08,Merseyside Police,D4,7,0,15,21,95,19,2,21,7,5,1
2012-08,Merseyside Police,D5,16,1,26,31,164,24,20,23,19,7,4
2012-08,Merseyside Police,D2,24,0,12,25,149,45,13,26,24,4,5
2012-08,Merseyside Police,D3,17,0,19,22,139,35,11,33,16,5,5
2012-08,Merseyside Police,D1,19,2,5,26,117,34,49,53,28,9,4
