Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-09,Police Service of Northern Ireland,Lisburn City,17,1,9,72,159,47,14,24,17,8,16
2012-09,Police Service of Northern Ireland,Castlereagh,11,2,3,18,61,22,7,10,9,0,4
2012-09,Police Service of Northern Ireland,Rural West,9,0,4,9,17,6,1,2,0,1,6
2012-09,Police Service of Northern Ireland,Maghera,2,0,4,27,14,4,0,3,3,3,7
2012-09,Police Service of Northern Ireland,Bush,1,0,1,4,17,4,0,0,1,0,2
2012-09,Police Service of Northern Ireland,South Armagh,12,0,5,26,39,12,2,13,5,5,5
2012-09,Police Service of Northern Ireland,Dunmurry,12,1,12,28,135,43,1,10,3,2,6
2012-09,Police Service of Northern Ireland,Downpatrick,16,0,5,38,89,23,3,25,18,4,7
2012-09,Police Service of Northern Ireland,Lisburn Rural,17,1,3,17,49,13,1,5,0,2,4
2012-09,Police Service of Northern Ireland,Ballymoney Town,2,0,0,14,31,7,1,2,0,1,2
2012-09,Police Service of Northern Ireland,York Road,37,0,20,168,239,98,12,32,13,12,8
2012-09,Police Service of Northern Ireland,Coleraine Coastal,11,0,4,39,85,19,2,10,10,1,3
2012-09,Police Service of Northern Ireland,Dromore,6,0,2,5,3,3,1,2,0,2,1
2012-09,Police Service of Northern Ireland,Lurgan,28,2,7,65,140,40,5,20,10,11,4
2012-09,Police Service of Northern Ireland,Foyle City Centre,7,3,3,74,118,25,24,25,9,5,7
2012-09,Police Service of Northern Ireland,Foyle City North,19,0,11,36,98,29,1,29,7,0,4
2012-09,Police Service of Northern Ireland,Larne Lough,0,0,0,2,18,2,1,2,0,0,0
2012-09,Police Service of Northern Ireland,Bann,1,0,1,6,9,4,0,1,0,0,1
2012-09,Police Service of Northern Ireland,Cookstown Rural,3,0,2,10,26,8,0,4,1,1,2
2012-09,Police Service of Northern Ireland,Coleraine Rural,2,0,1,4,19,1,0,4,0,0,0
2012-09,Police Service of Northern Ireland,Laganbank,41,6,29,110,267,79,9,64,20,9,9
2012-09,Police Service of Northern Ireland,Carryduff,7,0,0,17,31,11,0,4,4,0,2
2012-09,Police Service of Northern Ireland,Rural East,7,0,5,10,26,10,0,7,1,1,1
2012-09,Police Service of Northern Ireland,Cushendall,1,0,0,1,4,0,0,0,0,0,0
2012-09,Police Service of Northern Ireland,Coleraine Town,14,0,11,49,187,34,7,17,21,2,9
2012-09,Police Service of Northern Ireland,Holywood,4,0,2,5,37,8,0,9,0,1,2
2012-09,Police Service of Northern Ireland,Macedon,4,0,1,26,66,22,11,7,1,1,4
2012-09,Police Service of Northern Ireland,Rathfriland,6,0,1,3,13,3,0,2,1,0,0
2012-09,Police Service of Northern Ireland,Larne Coastal Road,2,0,1,6,8,4,0,2,0,1,0
2012-09,Police Service of Northern Ireland,Crumlin,6,0,1,9,20,5,7,4,4,2,5
2012-09,Police Service of Northern Ireland,Cookstown Urban,3,0,4,23,66,15,5,16,2,1,1
2012-09,Police Service of Northern Ireland,Castlederg,1,0,2,13,25,10,0,2,1,1,0
2012-09,Police Service of Northern Ireland,Ballyclare,10,0,4,4,38,6,1,7,1,0,3
2012-09,Police Service of Northern Ireland,Newry City,32,2,10,62,87,41,21,25,14,3,9
2012-09,Police Service of Northern Ireland,Victoria,14,1,4,40,62,17,6,15,5,3,7
2012-09,Police Service of Northern Ireland,Peninsula,4,0,1,28,75,13,0,5,1,0,4
2012-09,Police Service of Northern Ireland,Strabane,6,0,4,24,93,27,4,11,1,2,5
2012-09,Police Service of Northern Ireland,Ballymena North,8,0,1,18,60,12,3,1,3,3,2
2012-09,Police Service of Northern Ireland,Banbridge,4,0,5,25,76,12,5,6,9,3,4
2012-09,Police Service of Northern Ireland,Limavady Rural,5,0,3,16,36,8,0,6,3,0,5
2012-09,Police Service of Northern Ireland,Fermanagh South,4,0,1,11,30,6,1,8,1,0,4
2012-09,Police Service of Northern Ireland,Portadown,14,1,10,46,106,36,9,21,9,4,8
2012-09,Police Service of Northern Ireland,Comber,7,0,1,9,35,9,0,4,1,2,0
2012-09,Police Service of Northern Ireland,Fermanagh North,4,0,1,22,22,11,2,5,0,1,6
2012-09,Police Service of Northern Ireland,Randalstown,4,0,4,10,17,3,0,2,4,0,0
2012-09,Police Service of Northern Ireland,South Down,17,0,5,30,58,27,5,9,7,5,7
2012-09,Police Service of Northern Ireland,Carrickfergus,13,0,7,32,137,31,4,6,9,1,8
2012-09,Police Service of Northern Ireland,Omagh Rural,11,0,4,10,17,4,2,4,4,0,2
2012-09,Police Service of Northern Ireland,Omagh Urban,11,0,5,50,99,26,10,20,21,5,6
2012-09,Police Service of Northern Ireland,Central,15,9,16,90,210,47,75,75,21,8,8
2012-09,Police Service of Northern Ireland,Magherafelt,0,0,1,41,60,22,1,8,11,2,4
2012-09,Police Service of Northern Ireland,Bangor Outer,12,1,1,40,123,31,3,21,5,0,3
2012-09,Police Service of Northern Ireland,Pottinger,28,4,10,88,197,46,20,59,10,5,9
