Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-12,Avon and Somerset Constabulary,JN310,1,0,0,0,0,0,0,0,0,0,0
2012-12,Avon and Somerset Constabulary,FW004,0,0,0,2,1,1,0,0,0,0,0
2012-12,Avon and Somerset Constabulary,JC205,0,0,1,3,8,2,0,3,0,0,0
2012-12,Avon and Somerset Constabulary,JW110,2,0,1,0,0,1,0,1,0,0,0
2012-12,Avon and Somerset Constabulary,JW112,0,0,0,2,1,0,0,1,0,0,0
2012-12,Avon and Somerset Constabulary,JW109,2,0,3,1,9,0,0,2,0,0,0
2012-12,Avon and Somerset Constabulary,JW108,2,0,2,4,16,5,2,2,0,0,3
2012-12,Avon and Somerset Constabulary,JW107,4,1,4,7,15,5,2,2,2,0,1
2012-12,Avon and Somerset Constabulary,JW106,5,0,3,7,17,5,0,2,3,0,0
2012-12,Avon and Somerset Constabulary,JW105,7,0,5,10,21,7,0,4,2,1,1
2012-12,Avon and Somerset Constabulary,JW104,6,0,4,27,45,25,9,10,9,1,3
2012-12,Avon and Somerset Constabulary,JW103,6,4,4,18,33,13,5,7,0,0,2
2012-12,Avon and Somerset Constabulary,JW102,9,0,4,10,26,6,0,4,0,0,0
2012-12,Avon and Somerset Constabulary,JW101,6,0,6,77,91,25,19,28,2,0,1
2012-12,Avon and Somerset Constabulary,EK117,7,0,2,10,10,10,4,4,0,0,1
2012-12,Avon and Somerset Constabulary,JC209,1,0,0,0,2,0,0,1,0,0,0
2012-12,Avon and Somerset Constabulary,JW113,0,0,0,1,2,1,0,0,0,0,0
2012-12,Avon and Somerset Constabulary,EB114,3,0,4,3,12,11,0,4,1,0,0
2012-12,Avon and Somerset Constabulary,EB115,2,0,1,1,13,4,0,4,2,0,0
2012-12,Avon and Somerset Constabulary,EB116,0,0,4,4,8,5,3,4,1,0,0
2012-12,Avon and Somerset Constabulary,JC203,0,0,1,2,4,4,0,0,0,1,0
2012-12,Avon and Somerset Constabulary,EB110,1,0,2,5,7,0,0,0,0,0,0
2012-12,Avon and Somerset Constabulary,EB111,3,0,5,7,27,10,1,2,3,0,2
2012-12,Avon and Somerset Constabulary,EB112,1,0,7,6,10,5,0,3,0,0,0
2012-12,Avon and Somerset Constabulary,EB113,2,0,2,1,4,2,0,3,0,0,0
2012-12,Avon and Somerset Constabulary,GT024,2,0,0,5,19,5,3,3,1,0,0
