Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-09,Nottinghamshire Police,31-197,1,0,1,1,4,1,0,1,0,0,3
2012-09,Nottinghamshire Police,31-196,0,0,0,3,6,1,0,1,0,1,0
2012-09,Nottinghamshire Police,31-191,1,0,0,8,5,4,6,3,2,2,1
2012-09,Nottinghamshire Police,31-220,3,0,6,2,12,4,2,2,1,0,0
2012-09,Nottinghamshire Police,31-80,0,0,0,0,0,0,0,0,0,0,0
2012-09,Nottinghamshire Police,31-82,9,0,4,9,19,13,1,2,3,1,0
2012-09,Nottinghamshire Police,31-83,4,1,3,5,45,12,2,9,4,0,2
2012-09,Nottinghamshire Police,31-84,3,1,3,7,12,1,0,2,3,0,0
2012-09,Nottinghamshire Police,31-85,5,1,14,4,24,3,4,2,1,1,1
2012-09,Nottinghamshire Police,31-86,1,0,0,3,1,1,0,0,0,2,0
2012-09,Nottinghamshire Police,31-87,3,0,1,0,6,2,0,0,1,0,1
2012-09,Nottinghamshire Police,31-88,1,0,3,5,20,11,0,2,0,2,2
2012-09,Nottinghamshire Police,31-89,0,0,1,6,14,2,0,3,0,1,0
2012-09,Nottinghamshire Police,31-108,4,0,10,12,38,5,1,6,2,1,1
2012-09,Nottinghamshire Police,31-109,6,1,4,6,41,8,0,4,5,2,2
2012-09,Nottinghamshire Police,31-100,3,0,7,7,17,4,1,2,0,1,1
2012-09,Nottinghamshire Police,31-101,3,0,4,7,31,9,0,2,1,1,3
2012-09,Nottinghamshire Police,31-102,1,1,0,18,31,6,27,20,4,0,0
2012-09,Nottinghamshire Police,31-103,4,0,10,2,10,2,1,3,1,0,1
2012-09,Nottinghamshire Police,31-104,5,1,4,10,29,5,7,6,5,1,1
2012-09,Nottinghamshire Police,31-105,0,0,5,10,20,8,10,1,0,0,0
2012-09,Nottinghamshire Police,31-106,0,0,0,4,16,7,7,5,0,1,0
2012-09,Nottinghamshire Police,31-107,8,0,6,5,20,8,3,5,1,0,2
2012-09,Nottinghamshire Police,31-78,18,0,5,21,18,6,14,5,3,1,1
2012-09,Nottinghamshire Police,31-117,12,1,3,15,39,10,0,8,7,5,3
2012-09,Nottinghamshire Police,31-116,1,1,0,3,16,6,0,2,3,1,1
2012-09,Nottinghamshire Police,31-115,3,0,1,4,9,4,5,0,0,0,1
2012-09,Nottinghamshire Police,31-114,9,1,10,6,26,5,0,2,0,1,3
2012-09,Nottinghamshire Police,31-113,2,0,0,0,6,3,0,5,0,0,0
2012-09,Nottinghamshire Police,31-112,7,2,3,4,14,4,6,6,0,1,0
2012-09,Nottinghamshire Police,31-111,8,1,1,6,26,3,0,0,0,1,0
2012-09,Nottinghamshire Police,31-110,6,1,2,10,16,5,1,6,2,1,0
2012-09,Nottinghamshire Police,31-75,0,0,0,3,14,4,1,3,0,0,1
2012-09,Nottinghamshire Police,31-119,1,1,1,8,10,6,3,2,2,3,1
2012-09,Nottinghamshire Police,31-118,4,0,0,5,13,2,0,2,6,3,1
2012-09,Nottinghamshire Police,31-214,2,0,0,1,1,2,0,1,1,0,1
2012-09,Nottinghamshire Police,31-216,3,0,5,1,7,2,0,6,1,0,2
2012-09,Nottinghamshire Police,31-217,1,0,3,1,6,2,0,3,1,0,0
2012-09,Nottinghamshire Police,31-210,3,0,6,5,13,4,5,6,0,0,0
2012-09,Nottinghamshire Police,31-213,0,0,0,2,13,2,0,1,3,0,0
2012-09,Nottinghamshire Police,31-218,3,0,9,1,6,0,6,12,0,0,1
2012-09,Nottinghamshire Police,31-219,5,1,5,1,9,4,3,7,1,2,1
2012-09,Nottinghamshire Police,31-162,6,0,4,10,30,10,1,4,6,2,5
2012-09,Nottinghamshire Police,31-160,1,1,2,8,20,10,0,7,6,1,0
2012-09,Nottinghamshire Police,31-161,3,2,0,12,38,4,2,4,7,3,2
2012-09,Nottinghamshire Police,31-166,5,0,4,5,28,31,8,7,2,1,1
2012-09,Nottinghamshire Police,31-68,4,0,2,4,21,4,1,2,0,0,0
2012-09,Nottinghamshire Police,31-69,2,0,2,4,11,11,0,2,1,1,2
2012-09,Nottinghamshire Police,31-66,0,0,4,5,12,4,0,6,0,0,0
2012-09,Nottinghamshire Police,31-67,10,0,4,14,20,15,2,6,2,0,0
2012-09,Nottinghamshire Police,31-65,0,0,0,0,0,0,0,0,0,0,0
2012-09,Nottinghamshire Police,31-61,10,0,3,4,25,9,2,2,0,2,2
2012-09,Nottinghamshire Police,31-202,2,1,2,12,19,4,7,2,0,2,2
2012-09,Nottinghamshire Police,31-200,7,0,3,8,26,11,0,5,0,1,0
2012-09,Nottinghamshire Police,31-206,3,0,1,11,3,4,0,6,2,1,0
