Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-01,Bedfordshire Police,56,6,0,13,13,31,7,0,7,1,0,0
2012-01,Bedfordshire Police,54,0,0,4,4,12,6,0,5,0,0,1
2012-01,Bedfordshire Police,42,0,0,0,1,3,0,0,1,0,0,0
2012-01,Bedfordshire Police,48,3,0,1,3,15,3,1,1,0,1,0
2012-01,Bedfordshire Police,43,7,1,1,1,12,4,0,2,0,0,0
2012-01,Bedfordshire Police,60,23,5,14,29,88,32,12,22,13,4,3
2012-01,Bedfordshire Police,61,8,0,5,8,18,4,0,6,3,1,4
2012-01,Bedfordshire Police,62,12,0,13,17,101,19,10,10,1,0,2
2012-01,Bedfordshire Police,63,1,1,0,2,7,3,0,3,0,0,0
2012-01,Bedfordshire Police,64,12,0,11,6,36,9,0,8,2,0,4
2012-01,Bedfordshire Police,49,2,1,0,6,11,2,6,4,3,1,3
2012-01,Bedfordshire Police,66,16,0,12,8,60,23,0,9,1,5,2
2012-01,Bedfordshire Police,67,19,2,5,25,113,16,9,20,3,1,7
2012-01,Bedfordshire Police,68,23,1,20,17,105,22,20,27,7,1,5
2012-01,Bedfordshire Police,69,11,0,15,5,43,9,1,11,2,0,2
2012-01,Bedfordshire Police,52,8,0,2,8,33,3,0,9,1,0,0
2012-01,Bedfordshire Police,53,3,1,2,1,20,6,0,3,1,1,1
2012-01,Bedfordshire Police,24,10,6,11,5,37,7,13,10,1,0,9
2012-01,Bedfordshire Police,25,0,0,0,2,8,0,2,6,0,0,1
2012-01,Bedfordshire Police,26,0,1,0,1,14,1,1,0,0,0,0
2012-01,Bedfordshire Police,27,4,0,2,0,6,0,0,0,0,0,1
2012-01,Bedfordshire Police,20,2,0,2,2,3,1,0,3,0,0,3
2012-01,Bedfordshire Police,21,13,2,5,6,44,10,0,2,2,2,0
2012-01,Bedfordshire Police,22,13,5,6,11,32,15,0,7,3,3,4
2012-01,Bedfordshire Police,23,3,0,2,4,11,6,0,2,0,0,2
2012-01,Bedfordshire Police,46,4,0,1,2,16,9,0,1,0,0,0
2012-01,Bedfordshire Police,47,8,0,1,2,21,3,0,6,1,0,0
2012-01,Bedfordshire Police,44,13,0,5,2,16,7,2,4,1,1,3
2012-01,Bedfordshire Police,45,2,0,0,2,5,0,0,0,1,0,1
2012-01,Bedfordshire Police,28,9,2,4,5,13,7,1,1,1,1,1
2012-01,Bedfordshire Police,29,7,0,1,5,9,0,1,1,0,1,1
2012-01,Bedfordshire Police,40,0,0,3,0,8,1,2,8,0,1,3
2012-01,Bedfordshire Police,41,1,0,2,0,6,0,0,1,0,0,0
2012-01,Bedfordshire Police,51,6,2,3,16,71,12,3,13,0,4,1
2012-01,Bedfordshire Police,39,6,0,3,0,17,5,0,3,1,0,0
2012-01,Bedfordshire Police,65,65,11,80,82,277,68,31,55,30,14,29
2012-01,Bedfordshire Police,38,10,0,8,2,14,4,3,2,1,1,2
2012-01,Bedfordshire Police,70,7,1,12,7,73,13,0,16,5,3,4
2012-01,Bedfordshire Police,59,7,0,2,5,14,6,1,5,2,0,0
2012-01,Bedfordshire Police,58,4,0,2,6,57,11,0,7,0,0,1
2012-01,Bedfordshire Police,11,1,3,7,2,8,5,0,2,2,1,3
2012-01,Bedfordshire Police,10,35,13,18,39,96,26,69,71,8,8,16
2012-01,Bedfordshire Police,13,2,1,4,2,19,5,0,1,0,0,0
2012-01,Bedfordshire Police,12,3,0,7,19,39,13,2,7,1,0,2
2012-01,Bedfordshire Police,15,9,2,5,2,20,4,5,1,0,0,1
2012-01,Bedfordshire Police,14,4,4,6,4,35,6,6,6,2,1,5
2012-01,Bedfordshire Police,17,0,0,0,0,35,0,0,0,0,0,0
2012-01,Bedfordshire Police,16,8,5,6,6,37,9,0,4,0,2,0
2012-01,Bedfordshire Police,19,17,2,8,8,29,5,1,9,2,0,2
2012-01,Bedfordshire Police,18,0,0,0,0,26,0,0,0,0,0,0
2012-01,Bedfordshire Police,31,17,7,13,15,40,10,0,5,5,0,4
2012-01,Bedfordshire Police,30,5,0,2,2,12,0,1,2,0,1,0
2012-01,Bedfordshire Police,37,8,2,5,5,38,15,0,3,0,1,2
2012-01,Bedfordshire Police,36,8,1,11,12,47,4,1,8,0,3,1
2012-01,Bedfordshire Police,35,6,1,6,6,24,5,1,3,3,2,2
2012-01,Bedfordshire Police,34,0,4,3,16,18,4,0,5,2,5,0
2012-01,Bedfordshire Police,33,11,3,3,3,14,3,7,12,1,1,3
2012-01,Bedfordshire Police,55,2,0,10,1,27,6,0,3,0,0,0
2012-01,Bedfordshire Police,32,10,2,3,12,44,5,7,13,6,0,5
2012-01,Bedfordshire Police,57,9,4,3,32,52,13,47,23,6,16,8
2012-01,Bedfordshire Police,50,3,1,1,6,44,9,3,4,1,3,1
