Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-08,Avon and Somerset Constabulary,JN310,0,0,1,0,1,0,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,FW004,0,0,0,0,3,0,0,2,0,0,0
2012-08,Avon and Somerset Constabulary,JC205,4,0,2,1,8,3,0,1,0,0,1
2012-08,Avon and Somerset Constabulary,JW110,5,0,0,0,7,1,0,1,0,0,1
2012-08,Avon and Somerset Constabulary,JW112,0,0,0,0,5,2,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,JW109,2,0,1,1,8,2,0,2,1,0,0
2012-08,Avon and Somerset Constabulary,JW108,4,0,4,11,27,5,0,10,2,0,1
2012-08,Avon and Somerset Constabulary,JW107,3,0,1,6,21,2,4,3,2,0,1
2012-08,Avon and Somerset Constabulary,JW106,4,0,4,5,21,2,2,5,0,0,0
2012-08,Avon and Somerset Constabulary,JW105,8,0,7,10,59,19,2,13,4,0,3
2012-08,Avon and Somerset Constabulary,JW104,13,1,13,34,104,12,6,22,2,0,5
2012-08,Avon and Somerset Constabulary,JW103,6,0,5,20,69,11,8,20,3,1,4
2012-08,Avon and Somerset Constabulary,JW102,2,0,9,13,33,9,1,7,4,0,3
2012-08,Avon and Somerset Constabulary,JW101,10,0,8,66,139,37,18,38,15,1,11
2012-08,Avon and Somerset Constabulary,EK117,2,0,2,14,17,0,1,5,0,0,1
2012-08,Avon and Somerset Constabulary,JC209,2,0,4,3,0,0,1,0,0,0,0
2012-08,Avon and Somerset Constabulary,JW113,1,0,1,0,3,0,0,1,0,0,0
2012-08,Avon and Somerset Constabulary,EB114,0,0,3,5,6,0,6,0,0,0,1
2012-08,Avon and Somerset Constabulary,EB115,1,1,4,4,22,2,1,2,0,1,1
2012-08,Avon and Somerset Constabulary,EB116,2,0,2,6,6,1,1,2,1,0,0
2012-08,Avon and Somerset Constabulary,JC203,1,0,1,3,10,18,0,2,0,0,1
2012-08,Avon and Somerset Constabulary,EB110,1,1,1,4,21,16,2,3,0,0,1
2012-08,Avon and Somerset Constabulary,EB111,1,0,3,15,42,7,3,3,7,0,1
2012-08,Avon and Somerset Constabulary,EB112,4,0,2,1,8,8,0,1,6,0,1
2012-08,Avon and Somerset Constabulary,EB113,8,0,1,3,6,1,0,4,2,0,1
2012-08,Avon and Somerset Constabulary,GT024,2,0,1,1,20,8,4,3,0,0,0
2012-08,Avon and Somerset Constabulary,GT025,0,0,0,4,26,3,4,3,0,0,0
2012-08,Avon and Somerset Constabulary,GT026,0,0,1,0,22,8,3,1,0,0,0
2012-08,Avon and Somerset Constabulary,FT004,0,0,1,1,1,0,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,BC198,4,2,7,7,16,2,1,6,1,0,0
2012-08,Avon and Somerset Constabulary,GT021,1,0,0,0,3,0,0,0,0,0,2
2012-08,Avon and Somerset Constabulary,GT022,3,0,1,3,7,1,0,4,0,0,0
2012-08,Avon and Somerset Constabulary,GT023,0,0,3,1,2,2,0,1,0,0,0
2012-08,Avon and Somerset Constabulary,BC194,12,0,4,45,76,13,20,61,6,0,4
2012-08,Avon and Somerset Constabulary,BC195,12,0,15,9,34,8,5,15,5,0,2
2012-08,Avon and Somerset Constabulary,BC196,18,0,7,7,26,1,18,16,0,0,1
2012-08,Avon and Somerset Constabulary,BC197,3,0,2,28,26,3,2,27,5,0,2
2012-08,Avon and Somerset Constabulary,BC190,8,2,6,15,64,16,2,15,6,0,3
2012-08,Avon and Somerset Constabulary,BC191,2,0,1,3,5,1,1,11,0,0,0
2012-08,Avon and Somerset Constabulary,BC192,0,2,5,28,69,9,101,67,18,1,9
2012-08,Avon and Somerset Constabulary,BC193,10,1,5,29,106,7,11,71,14,0,2
2012-08,Avon and Somerset Constabulary,FT001,0,0,1,4,32,1,5,3,1,0,2
2012-08,Avon and Somerset Constabulary,FI004,1,0,1,1,3,3,0,5,0,0,2
2012-08,Avon and Somerset Constabulary,FK001,8,0,7,3,23,14,15,5,0,0,0
2012-08,Avon and Somerset Constabulary,FI001,1,0,0,4,4,2,0,1,0,0,1
2012-08,Avon and Somerset Constabulary,FI002,5,1,0,2,7,5,1,0,1,0,0
2012-08,Avon and Somerset Constabulary,FI003,1,0,1,0,2,1,0,3,0,0,1
2012-08,Avon and Somerset Constabulary,FW002,0,0,1,2,16,1,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,FW003,1,0,1,2,31,6,2,5,0,0,0
2012-08,Avon and Somerset Constabulary,FW001,0,0,2,2,22,2,5,4,0,0,0
2012-08,Avon and Somerset Constabulary,FW006,0,0,1,1,1,1,0,5,0,0,0
2012-08,Avon and Somerset Constabulary,FW007,1,0,1,1,2,0,0,3,0,0,0
2012-08,Avon and Somerset Constabulary,FC008,4,0,0,1,1,0,0,2,0,0,0
2012-08,Avon and Somerset Constabulary,FW005,0,0,0,1,3,3,0,0,0,0,1
2012-08,Avon and Somerset Constabulary,FC006,2,0,0,0,6,1,0,2,1,0,0
2012-08,Avon and Somerset Constabulary,FC007,1,0,1,0,2,0,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,FC004,1,0,0,3,9,1,1,1,0,0,1
2012-08,Avon and Somerset Constabulary,FC005,2,0,1,4,19,7,1,1,0,0,0
2012-08,Avon and Somerset Constabulary,FC002,0,1,0,3,10,1,0,2,0,0,1
2012-08,Avon and Somerset Constabulary,FC003,0,0,0,3,5,4,1,2,3,0,0
2012-08,Avon and Somerset Constabulary,JW116,0,0,0,0,2,0,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,FC001,1,0,0,0,3,0,0,1,0,0,1
2012-08,Avon and Somerset Constabulary,JC204,3,0,0,5,17,9,1,4,1,0,2
2012-08,Avon and Somerset Constabulary,JW117,0,0,0,2,2,0,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,GB008,6,0,2,2,28,7,3,7,2,0,0
2012-08,Avon and Somerset Constabulary,GU009,3,0,2,9,25,3,2,8,0,0,3
2012-08,Avon and Somerset Constabulary,JW111,1,0,2,1,2,0,0,1,0,0,0
2012-08,Avon and Somerset Constabulary,GB001,6,0,9,9,22,3,0,5,3,0,1
2012-08,Avon and Somerset Constabulary,BS134,15,0,9,14,43,8,18,6,3,1,4
2012-08,Avon and Somerset Constabulary,BS135,3,0,7,12,38,7,7,8,0,1,6
2012-08,Avon and Somerset Constabulary,BS132,14,0,6,21,53,6,0,10,2,0,5
2012-08,Avon and Somerset Constabulary,BS133,4,0,4,9,36,8,11,5,0,1,1
2012-08,Avon and Somerset Constabulary,GB006,3,0,1,27,81,17,15,9,4,1,2
2012-08,Avon and Somerset Constabulary,GB007,2,0,0,1,8,4,0,1,0,0,0
2012-08,Avon and Somerset Constabulary,GB011,4,0,1,3,19,3,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,JN308,1,0,4,3,4,0,0,2,2,0,1
2012-08,Avon and Somerset Constabulary,JN309,0,0,0,0,0,0,0,1,0,0,0
2012-08,Avon and Somerset Constabulary,JP213,0,0,0,3,16,8,3,8,0,0,0
2012-08,Avon and Somerset Constabulary,GU005,1,0,4,4,20,6,0,2,1,0,0
2012-08,Avon and Somerset Constabulary,BC173,7,0,12,6,36,8,5,10,1,0,1
2012-08,Avon and Somerset Constabulary,GU007,4,0,7,1,34,12,4,6,5,0,0
2012-08,Avon and Somerset Constabulary,GU006,2,0,2,5,29,3,2,9,0,0,1
2012-08,Avon and Somerset Constabulary,GU001,2,0,7,2,4,1,0,5,0,0,0
2012-08,Avon and Somerset Constabulary,BC174,24,1,11,4,39,6,14,10,2,0,2
2012-08,Avon and Somerset Constabulary,BC175,11,1,10,6,30,8,13,7,1,0,5
2012-08,Avon and Somerset Constabulary,DF144,12,0,4,9,26,10,1,8,0,0,1
2012-08,Avon and Somerset Constabulary,DF145,3,0,3,5,25,4,0,6,3,0,2
2012-08,Avon and Somerset Constabulary,DF142,6,0,10,9,51,13,36,20,5,0,7
2012-08,Avon and Somerset Constabulary,DF143,8,1,6,13,54,13,2,9,1,0,2
2012-08,Avon and Somerset Constabulary,DF140,9,0,9,10,32,9,7,9,7,0,2
2012-08,Avon and Somerset Constabulary,DF141,5,1,8,6,34,13,4,7,2,0,14
2012-08,Avon and Somerset Constabulary,JN305,0,0,0,1,8,3,2,2,0,0,0
2012-08,Avon and Somerset Constabulary,DS101,22,0,10,9,55,15,8,8,3,0,11
2012-08,Avon and Somerset Constabulary,DS103,27,2,16,24,98,27,5,19,8,0,8
2012-08,Avon and Somerset Constabulary,DS102,10,3,7,17,58,20,5,12,4,0,4
2012-08,Avon and Somerset Constabulary,DS105,11,0,6,9,35,11,0,3,0,0,3
2012-08,Avon and Somerset Constabulary,DS104,15,0,11,8,44,14,22,6,6,0,6
2012-08,Avon and Somerset Constabulary,GU002,0,0,0,0,9,0,0,0,0,0,0
2012-08,Avon and Somerset Constabulary,DS106,9,0,5,10,24,4,1,6,2,0,4
2012-08,Avon and Somerset Constabulary,BU152,14,1,7,6,10,6,10,9,1,0,1
2012-08,Avon and Somerset Constabulary,BU153,13,0,12,19,63,23,5,13,7,0,5
