Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-06,Avon and Somerset Constabulary,JN310,1,0,0,1,0,1,0,0,0,0,0
2012-06,Avon and Somerset Constabulary,FW004,5,0,0,0,5,1,0,1,0,0,0
2012-06,Avon and Somerset Constabulary,JC205,0,0,2,2,13,2,0,4,0,0,0
2012-06,Avon and Somerset Constabulary,JW110,1,0,1,2,5,2,0,3,0,0,0
2012-06,Avon and Somerset Constabulary,JW112,2,0,0,1,2,0,0,0,0,0,0
2012-06,Avon and Somerset Constabulary,JW109,1,0,0,2,8,3,0,2,1,0,2
2012-06,Avon and Somerset Constabulary,JW108,5,0,4,7,25,4,2,8,1,1,5
2012-06,Avon and Somerset Constabulary,JW107,2,1,2,3,32,7,2,2,1,0,1
2012-06,Avon and Somerset Constabulary,JW106,1,0,5,3,15,4,1,1,3,0,0
2012-06,Avon and Somerset Constabulary,JW105,4,0,2,11,37,9,9,5,4,0,1
2012-06,Avon and Somerset Constabulary,JW104,19,1,7,30,63,25,4,8,4,1,2
2012-06,Avon and Somerset Constabulary,JW103,4,3,6,14,34,9,8,11,10,0,4
2012-06,Avon and Somerset Constabulary,JW102,7,0,3,10,33,5,0,4,0,0,0
2012-06,Avon and Somerset Constabulary,JW101,6,1,5,68,129,19,28,34,15,0,8
2012-06,Avon and Somerset Constabulary,EK117,3,0,0,8,22,6,3,5,2,0,1
2012-06,Avon and Somerset Constabulary,JC209,1,0,0,1,1,0,0,0,0,0,0
2012-06,Avon and Somerset Constabulary,JW113,1,0,0,1,1,0,0,3,3,0,0
2012-06,Avon and Somerset Constabulary,EB114,6,0,1,2,11,1,1,0,2,0,1
2012-06,Avon and Somerset Constabulary,EB115,3,1,2,6,15,4,2,5,0,0,1
2012-06,Avon and Somerset Constabulary,EB116,3,0,2,5,12,2,1,2,1,0,0
2012-06,Avon and Somerset Constabulary,JC203,0,0,0,3,6,2,0,1,0,0,0
2012-06,Avon and Somerset Constabulary,EB110,0,0,2,3,16,5,0,2,0,0,0
2012-06,Avon and Somerset Constabulary,EB111,3,0,0,8,29,8,1,7,3,0,0
2012-06,Avon and Somerset Constabulary,EB112,4,0,3,5,12,6,1,1,1,0,1
2012-06,Avon and Somerset Constabulary,EB113,1,0,2,3,6,2,0,3,0,1,2
2012-06,Avon and Somerset Constabulary,GT024,1,0,0,7,19,3,0,4,0,0,0
2012-06,Avon and Somerset Constabulary,GT025,1,0,8,3,17,4,1,3,1,0,2
2012-06,Avon and Somerset Constabulary,GT026,1,0,5,6,14,5,0,1,3,0,2
2012-06,Avon and Somerset Constabulary,FT004,4,0,1,1,1,3,0,4,1,0,0
2012-06,Avon and Somerset Constabulary,BC198,1,0,4,3,10,1,0,4,4,1,1
2012-06,Avon and Somerset Constabulary,GT021,0,0,0,1,3,0,0,1,0,0,0
2012-06,Avon and Somerset Constabulary,GT022,1,0,1,2,7,1,0,2,0,0,0
2012-06,Avon and Somerset Constabulary,GT023,0,0,2,1,3,1,0,0,0,0,0
2012-06,Avon and Somerset Constabulary,BC194,7,1,5,19,86,15,29,88,14,0,6
2012-06,Avon and Somerset Constabulary,BC195,9,0,49,10,43,8,6,11,1,0,5
2012-06,Avon and Somerset Constabulary,BC196,10,0,14,3,31,4,17,17,0,0,1
2012-06,Avon and Somerset Constabulary,BC197,2,0,12,8,40,1,0,33,6,0,0
