Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-03,Police Service of Northern Ireland,Carrickfergus,7,3,6,40,89,21,6,14,3,5,9
2012-03,Police Service of Northern Ireland,Coleraine Coastal,2,0,1,30,85,26,2,11,12,2,0
2012-03,Police Service of Northern Ireland,Rural West,12,1,2,6,15,6,0,9,2,3,1
2012-03,Police Service of Northern Ireland,Bann,4,0,0,6,16,2,1,3,0,0,0
2012-03,Police Service of Northern Ireland,South Armagh,18,0,12,18,37,14,0,5,3,2,3
2012-03,Police Service of Northern Ireland,Dunmurry,19,3,8,35,136,31,0,19,2,6,3
2012-03,Police Service of Northern Ireland,Downpatrick,25,0,10,33,85,26,3,18,6,3,2
2012-03,Police Service of Northern Ireland,Lisburn Rural,11,0,5,18,57,22,0,8,2,3,10
2012-03,Police Service of Northern Ireland,Ballymoney Town,1,0,2,12,50,9,2,5,1,1,4
2012-03,Police Service of Northern Ireland,York Road,33,6,18,101,231,69,23,37,11,13,8
2012-03,Police Service of Northern Ireland,Castlereagh,3,0,2,20,46,21,9,11,4,1,4
2012-03,Police Service of Northern Ireland,Lurgan,29,2,8,63,109,40,8,18,8,7,7
2012-03,Police Service of Northern Ireland,Foyle City Centre,15,0,6,92,117,42,31,25,2,3,2
2012-03,Police Service of Northern Ireland,Foyle City North,6,1,8,36,138,55,1,22,1,3,2
2012-03,Police Service of Northern Ireland,Bush,5,0,1,8,18,3,0,5,1,3,1
2012-03,Police Service of Northern Ireland,Fermanagh North,5,1,0,14,22,7,1,9,0,1,2
2012-03,Police Service of Northern Ireland,Cookstown Rural,8,0,5,17,24,10,0,8,1,1,4
2012-03,Police Service of Northern Ireland,Coleraine Rural,1,0,1,7,5,6,0,6,0,0,0
2012-03,Police Service of Northern Ireland,Laganbank,44,6,28,110,319,89,16,70,21,7,10
2012-03,Police Service of Northern Ireland,Carryduff,3,0,1,12,18,7,0,6,1,0,2
2012-03,Police Service of Northern Ireland,Rural East,9,1,6,7,15,11,5,8,0,0,0
