Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-04,Merseyside Police,C4,27,0,15,4,70,16,23,6,11,6,13
2012-04,Merseyside Police,A1,23,4,15,21,252,33,29,24,30,12,11
2012-04,Merseyside Police,C5,23,2,21,11,137,40,13,26,32,15,15
2012-04,Merseyside Police,A3,10,1,4,6,47,6,3,9,7,1,0
2012-04,Merseyside Police,A2,10,0,4,7,116,15,10,14,11,4,6
2012-04,Merseyside Police,A5,17,2,20,15,140,37,17,16,18,8,15
2012-04,Merseyside Police,A4,4,0,10,6,101,15,15,9,12,8,5
2012-04,Merseyside Police,A7,23,0,17,14,131,32,15,21,10,9,4
2012-04,Merseyside Police,A6,21,6,12,24,260,54,56,30,24,18,12
2012-04,Merseyside Police,E5,37,6,12,20,195,49,6,32,42,10,8
2012-04,Merseyside Police,A8,7,0,11,8,39,5,4,5,4,3,5
2012-04,Merseyside Police,E7,42,1,25,22,168,53,5,32,24,21,12
2012-04,Merseyside Police,E6,28,6,19,12,339,76,8,20,18,9,5
2012-04,Merseyside Police,E1,37,9,48,43,268,45,121,308,76,52,18
2012-04,Merseyside Police,E3,10,4,21,9,153,23,14,16,23,11,11
2012-04,Merseyside Police,E2,45,5,38,27,213,98,46,36,83,18,12
2012-04,Merseyside Police,E4,53,5,31,17,259,79,27,47,38,7,22
2012-04,Merseyside Police,C3,22,2,18,4,112,58,2,24,27,11,4
2012-04,Merseyside Police,C2,14,0,15,3,105,24,25,12,23,3,14
2012-04,Merseyside Police,C1,5,1,10,1,132,24,1,11,9,7,1
2012-04,Merseyside Police,F1,42,3,19,13,134,33,12,28,18,15,17
2012-04,Merseyside Police,F2,45,5,17,23,204,50,12,22,35,12,7
2012-04,Merseyside Police,F3,25,1,14,5,69,16,8,15,12,2,7
2012-04,Merseyside Police,F4,14,1,14,7,100,34,27,18,33,8,11
2012-04,Merseyside Police,F5,28,2,17,13,93,51,26,49,23,7,13
2012-04,Merseyside Police,F6,0,0,2,0,2,0,0,3,1,2,0
2012-04,Merseyside Police,B4,20,2,22,4,89,17,20,20,9,4,14
2012-04,Merseyside Police,B5,26,1,22,5,109,25,8,26,15,1,11
2012-04,Merseyside Police,B6,40,1,12,10,77,24,21,25,10,4,9
2012-04,Merseyside Police,B7,5,0,3,12,75,21,34,35,11,6,7
2012-04,Merseyside Police,B1,24,1,11,8,146,45,46,25,18,11,18
2012-04,Merseyside Police,B2,43,6,5,15,122,30,10,32,9,8,8
2012-04,Merseyside Police,B3,48,1,23,16,205,52,6,25,29,9,5
2012-04,Merseyside Police,D4,24,0,5,5,103,30,6,30,9,2,13
2012-04,Merseyside Police,D5,49,0,13,6,129,32,16,27,15,4,5
2012-04,Merseyside Police,D2,11,0,16,13,133,45,19,25,20,5,3
2012-04,Merseyside Police,D3,19,1,16,3,111,27,19,28,14,7,3
2012-04,Merseyside Police,D1,23,4,10,12,105,30,35,38,20,2,6
