Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-11,Durham Constabulary,133,0,0,3,0,1,1,0,1,0,0,0
2012-11,Durham Constabulary,132,4,0,9,8,39,7,4,1,0,2,1
2012-11,Durham Constabulary,131,3,0,0,6,20,4,0,2,0,1,0
2012-11,Durham Constabulary,130,1,0,1,2,9,4,0,2,1,0,0
2012-11,Durham Constabulary,137,1,2,0,11,28,5,1,5,0,0,1
2012-11,Durham Constabulary,165,1,0,1,1,11,4,1,0,2,0,1
2012-11,Durham Constabulary,139,0,0,0,0,2,4,0,2,0,0,0
2012-11,Durham Constabulary,138,0,0,1,1,2,1,0,4,0,0,1
2012-11,Durham Constabulary,166,8,0,2,2,28,6,5,7,0,0,0
2012-11,Durham Constabulary,24,1,0,0,0,4,0,0,0,0,0,0
2012-11,Durham Constabulary,26,1,0,3,5,16,6,1,2,2,3,0
2012-11,Durham Constabulary,27,1,0,2,4,29,4,0,5,1,1,0
2012-11,Durham Constabulary,20,5,0,4,3,24,1,1,3,0,2,0
2012-11,Durham Constabulary,21,0,0,0,7,17,8,1,0,0,0,0
2012-11,Durham Constabulary,22,0,0,0,1,7,3,0,2,0,0,0
2012-11,Durham Constabulary,23,0,0,1,0,2,0,0,1,0,0,0
2012-11,Durham Constabulary,28,0,0,0,0,3,0,0,3,0,0,0
2012-11,Durham Constabulary,29,3,0,17,2,13,2,1,1,0,0,0
2012-11,Durham Constabulary,161,1,0,1,1,8,1,0,0,0,1,1
2012-11,Durham Constabulary,4,0,0,0,1,7,5,0,2,0,0,0
2012-11,Durham Constabulary,8,1,0,0,0,10,0,0,3,1,0,0
2012-11,Durham Constabulary,163,3,0,2,0,6,0,0,6,0,0,0
2012-11,Durham Constabulary,119,0,0,1,0,3,0,0,0,0,0,0
2012-11,Durham Constabulary,120,3,0,3,2,24,5,1,3,1,0,2
2012-11,Durham Constabulary,121,0,0,1,2,25,8,0,2,3,1,1
2012-11,Durham Constabulary,122,7,1,4,1,20,8,2,2,0,1,0
2012-11,Durham Constabulary,123,1,0,2,6,22,5,0,3,1,0,2
2012-11,Durham Constabulary,124,1,0,2,2,13,4,0,1,0,0,0
2012-11,Durham Constabulary,125,4,0,2,4,34,5,4,6,1,0,2
2012-11,Durham Constabulary,127,2,0,0,2,11,3,0,2,2,4,0
2012-11,Durham Constabulary,128,4,0,2,8,17,4,3,3,5,4,1
2012-11,Durham Constabulary,129,0,0,1,4,40,5,0,5,1,0,1
2012-11,Durham Constabulary,167,1,0,0,0,0,0,0,0,0,0,0
2012-11,Durham Constabulary,55,1,0,2,0,32,7,1,5,0,1,1
2012-11,Durham Constabulary,54,6,0,8,1,25,14,2,6,1,1,0
2012-11,Durham Constabulary,56,3,0,2,3,34,4,13,8,1,1,1
2012-11,Durham Constabulary,164,0,0,0,0,2,1,0,0,0,0,0
2012-11,Durham Constabulary,115,3,0,5,2,11,2,0,1,0,0,0
2012-11,Durham Constabulary,114,0,0,0,0,28,4,1,1,0,1,0
2012-11,Durham Constabulary,88,11,0,9,4,23,6,2,3,0,3,0
2012-11,Durham Constabulary,89,4,1,6,8,30,9,4,4,4,0,2
2012-11,Durham Constabulary,111,0,0,1,2,31,3,9,5,0,1,0
2012-11,Durham Constabulary,110,0,0,5,3,17,2,0,1,1,1,1
2012-11,Durham Constabulary,113,2,0,1,1,3,2,0,1,0,0,1
2012-11,Durham Constabulary,112,3,0,9,1,7,1,3,4,0,0,1
