Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-11,Merseyside Police,C4,39,0,31,11,57,23,25,10,17,6,17
2012-11,Merseyside Police,A1,38,3,14,36,197,51,19,47,18,11,4
2012-11,Merseyside Police,C5,28,3,36,24,110,47,15,31,32,12,7
2012-11,Merseyside Police,A3,11,0,3,9,30,7,6,10,4,1,2
2012-11,Merseyside Police,A2,28,0,10,19,67,31,7,15,12,7,0
2012-11,Merseyside Police,A5,27,6,20,43,127,56,19,26,23,13,6
2012-11,Merseyside Police,A4,16,0,6,10,90,19,12,16,9,7,1
2012-11,Merseyside Police,A7,30,1,13,19,131,40,13,30,14,4,5
2012-11,Merseyside Police,A6,41,2,18,50,242,70,70,41,29,12,14
2012-11,Merseyside Police,E5,48,5,28,41,260,65,8,37,19,9,11
2012-11,Merseyside Police,A8,5,1,4,11,40,7,4,10,3,2,4
2012-11,Merseyside Police,E7,53,4,36,43,183,71,15,27,30,7,21
2012-11,Merseyside Police,E6,42,6,19,27,128,50,21,20,26,3,8
2012-11,Merseyside Police,E1,45,15,45,141,287,53,126,408,47,39,28
2012-11,Merseyside Police,E3,22,4,34,20,110,55,10,16,24,11,8
2012-11,Merseyside Police,E2,40,10,37,56,244,95,38,45,41,12,17
2012-11,Merseyside Police,E4,43,15,52,42,250,128,30,53,34,12,11
2012-11,Merseyside Police,C3,22,2,27,15,86,38,3,28,40,8,3
2012-11,Merseyside Police,C2,24,1,15,6,106,49,15,12,8,4,10
2012-11,Merseyside Police,C1,15,2,6,13,103,34,0,11,9,4,3
2012-11,Merseyside Police,F1,56,4,31,28,97,41,18,27,23,10,8
2012-11,Merseyside Police,F2,54,11,20,29,204,54,10,40,36,11,6
2012-11,Merseyside Police,F3,28,0,31,11,62,18,13,11,9,2,0
2012-11,Merseyside Police,F4,20,1,33,20,100,26,14,20,8,8,9
2012-11,Merseyside Police,F5,47,3,32,30,118,74,28,38,22,12,12
2012-11,Merseyside Police,F6,0,0,0,0,2,0,0,1,4,0,0
2012-11,Merseyside Police,B4,44,0,26,16,71,19,17,14,8,3,5
2012-11,Merseyside Police,B5,23,1,24,23,70,36,5,17,11,1,10
2012-11,Merseyside Police,B6,23,2,26,14,96,30,14,25,8,1,5
2012-11,Merseyside Police,B7,6,4,3,21,47,15,32,28,2,3,11
2012-11,Merseyside Police,B1,35,8,8,28,123,58,33,41,33,10,8
2012-11,Merseyside Police,B2,42,1,48,25,77,25,15,21,18,7,4
2012-11,Merseyside Police,B3,68,6,62,26,175,86,10,37,36,16,7
2012-11,Merseyside Police,D4,18,3,10,16,60,26,0,11,8,3,5
2012-11,Merseyside Police,D5,30,0,45,16,103,28,11,20,25,4,2
2012-11,Merseyside Police,D2,24,0,16,18,136,46,11,18,7,7,7
2012-11,Merseyside Police,D3,34,1,27,13,74,62,5,28,9,9,2
2012-11,Merseyside Police,D1,21,3,17,28,77,24,54,34,22,5,12
