Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2012-09,North Wales Police,GNW17,2,0,0,1,3,0,0,0,0,0,0
2012-09,North Wales Police,WXW12,2,0,4,7,15,7,6,3,1,1,0
2012-09,North Wales Police,WXW13,8,1,0,11,39,4,21,21,2,4,2
2012-09,North Wales Police,WCW19,4,0,0,1,15,3,1,0,0,0,1
2012-09,North Wales Police,WXW11,0,0,0,4,4,3,1,2,0,1,0
2012-09,North Wales Police,GNW10,1,0,0,8,45,10,13,9,2,10,1
2012-09,North Wales Police,YMW35,0,0,0,2,4,0,0,0,0,0,0
2012-09,North Wales Police,YMW25,0,0,0,0,5,0,0,2,0,0,1
2012-09,North Wales Police,WXW18,0,0,0,0,1,0,0,0,0,0,0
2012-09,North Wales Police,GNW11,2,0,0,2,28,6,1,1,1,2,1
2012-09,North Wales Police,WCW01,0,0,1,1,1,1,0,1,0,0,0
2012-09,North Wales Police,WCW21,2,0,0,7,12,0,0,0,0,0,0
2012-09,North Wales Police,GNW13,0,0,3,0,2,0,0,0,0,1,1
2012-09,North Wales Police,WCW02,0,0,0,3,1,4,0,1,0,0,0
2012-09,North Wales Police,YMW13,0,0,0,1,3,0,0,1,0,0,1
2012-09,North Wales Police,WCW03,3,0,2,8,7,4,0,2,1,1,0
2012-09,North Wales Police,WCW18,4,1,2,17,52,10,8,12,5,3,0
2012-09,North Wales Police,YMW34,0,0,0,1,1,3,0,1,0,0,0
2012-09,North Wales Police,WCW04,0,0,0,1,2,0,0,0,0,0,0
2012-09,North Wales Police,GSW26,0,0,1,4,14,0,0,0,0,1,0
2012-09,North Wales Police,WCW05,1,1,2,4,9,19,0,3,0,2,0
2012-09,North Wales Police,GNW03,1,0,1,4,19,3,2,1,0,0,0
2012-09,North Wales Police,GNW02,1,0,1,9,10,2,0,0,0,0,1
2012-09,North Wales Police,GNW01,5,0,0,2,0,1,0,0,2,0,0
2012-09,North Wales Police,FNW19,4,0,0,7,18,2,3,6,1,0,0
2012-09,North Wales Police,FNW18,6,0,3,3,24,4,1,3,0,0,0
2012-09,North Wales Police,GNW05,0,0,0,1,5,5,0,0,0,0,0
2012-09,North Wales Police,GNW04,1,0,1,0,8,2,0,1,0,2,0
2012-09,North Wales Police,FNW15,0,0,0,4,15,5,0,2,0,1,0
2012-09,North Wales Police,FNW14,2,0,1,1,9,0,0,1,0,0,0
2012-09,North Wales Police,FNW17,6,0,1,1,5,5,0,1,1,0,1
2012-09,North Wales Police,FNW16,4,0,2,6,30,3,0,6,0,2,2
2012-09,North Wales Police,FNW11,0,0,0,1,2,3,2,0,0,0,0
2012-09,North Wales Police,FNW10,1,0,1,1,4,1,0,3,0,0,1
2012-09,North Wales Police,FNW13,3,0,0,6,26,2,4,1,0,1,1
2012-09,North Wales Police,FNW12,3,0,1,3,14,6,17,1,0,1,0
2012-09,North Wales Police,DCW09,3,1,4,7,26,8,1,5,2,3,2
2012-09,North Wales Police,DCW08,1,0,2,0,8,3,1,3,0,1,1
2012-09,North Wales Police,DCW07,0,0,1,2,8,3,2,2,1,1,1
2012-09,North Wales Police,DCW06,1,0,1,6,8,1,0,3,4,3,0
2012-09,North Wales Police,DCW05,6,0,11,4,15,6,3,4,0,1,0
2012-09,North Wales Police,DCW04,2,0,0,4,9,7,0,7,1,2,0
2012-09,North Wales Police,DCW03,0,0,1,2,5,0,1,2,0,0,4
2012-09,North Wales Police,DCW02,1,0,1,4,20,4,4,0,0,0,1
2012-09,North Wales Police,DCW01,0,0,4,3,9,1,0,1,0,0,1
2012-09,North Wales Police,WRW29,1,0,0,2,12,0,0,2,0,4,0
2012-09,North Wales Police,WRW28,2,0,1,0,2,0,3,0,1,0,0
2012-09,North Wales Police,WRW21,3,0,1,3,8,10,0,2,0,2,0
2012-09,North Wales Police,GNW07,0,0,0,0,7,2,0,0,0,1,0
2012-09,North Wales Police,WRW23,2,0,0,2,15,2,0,2,0,0,0
2012-09,North Wales Police,WRW22,3,0,0,4,11,3,0,3,1,1,0
2012-09,North Wales Police,WRW25,1,0,0,1,23,11,0,4,2,0,0
2012-09,North Wales Police,WRW24,2,0,1,3,7,0,2,3,1,0,0
2012-09,North Wales Police,WRW27,3,0,0,1,1,0,0,1,0,0,0
2012-09,North Wales Police,GNW06,1,0,1,0,9,1,6,0,2,0,2
2012-09,North Wales Police,GSW22,2,0,0,2,5,2,0,1,0,0,1
2012-09,North Wales Police,GSW40,0,0,0,0,2,0,0,1,0,0,0
2012-09,North Wales Police,YMW09,0,0,0,0,3,0,1,2,0,0,1
2012-09,North Wales Police,GSW23,0,0,0,1,5,0,0,1,0,0,0
2012-09,North Wales Police,GNW09,0,0,1,3,17,2,2,2,1,0,2
2012-09,North Wales Police,YMW30,2,0,0,0,2,0,0,2,0,0,0
2012-09,North Wales Police,GSW20,1,0,1,3,15,4,1,2,2,2,0
2012-09,North Wales Police,YMW29,1,0,0,6,5,3,0,0,0,3,2
2012-09,North Wales Police,FSW01,2,0,0,0,4,0,0,0,0,0,0
2012-09,North Wales Police,FSW03,0,0,1,0,0,1,0,0,0,0,1
2012-09,North Wales Police,FSW02,2,0,1,2,7,0,0,2,0,0,0
2012-09,North Wales Police,FSW05,1,0,0,0,2,0,0,1,0,0,0
2012-09,North Wales Police,FSW04,1,0,0,0,1,2,0,0,0,0,0
2012-09,North Wales Police,FNW08,1,0,1,7,18,2,4,1,1,0,2
2012-09,North Wales Police,FNW09,2,0,0,2,4,1,0,0,0,0,0
2012-09,North Wales Police,FSW09,0,0,0,0,1,0,0,0,0,0,0
2012-09,North Wales Police,FNW07,1,0,1,3,13,4,0,2,1,2,0
2012-09,North Wales Police,FNW04,0,0,2,0,2,1,0,3,0,1,0
2012-09,North Wales Police,FNW05,2,0,1,3,9,3,0,1,0,1,1
2012-09,North Wales Police,FNW02,4,0,0,2,8,1,0,0,0,0,0
2012-09,North Wales Police,FNW03,0,0,1,0,4,0,0,1,0,4,0
2012-09,North Wales Police,GNW12,1,0,2,1,12,3,0,0,0,1,0
2012-09,North Wales Police,FNW01,7,0,2,4,6,2,0,5,2,3,1
2012-09,North Wales Police,DCW18,2,0,3,5,22,2,1,2,0,1,1
2012-09,North Wales Police,YMW40,0,0,0,2,3,1,0,1,0,1,0
2012-09,North Wales Police,GNW08,1,0,1,0,4,1,0,1,0,0,0
2012-09,North Wales Police,GSW25,0,0,1,1,0,1,0,0,0,0,0
2012-09,North Wales Police,GSW24,0,0,0,4,15,3,0,3,0,0,0
2012-09,North Wales Police,DCW10,11,2,1,38,99,14,13,16,6,8,3
2012-09,North Wales Police,DCW11,4,0,1,6,10,6,0,4,0,1,0
2012-09,North Wales Police,DCW12,1,0,3,9,38,8,1,1,0,1,1
2012-09,North Wales Police,DCW13,0,0,0,1,8,4,0,1,1,2,0
2012-09,North Wales Police,DCW14,0,0,0,2,5,1,0,0,0,0,0
2012-09,North Wales Police,DCW15,7,0,1,3,15,1,0,1,0,0,0
2012-09,North Wales Police,DCW16,1,0,4,6,20,4,0,4,1,0,1
2012-09,North Wales Police,DCW17,1,0,0,3,12,4,2,4,1,1,1
2012-09,North Wales Police,YMW39,0,0,0,1,4,2,0,4,0,0,1
2012-09,North Wales Police,WCW07,2,0,1,6,25,6,4,5,3,4,0
2012-09,North Wales Police,YMW38,0,0,0,1,1,0,1,0,0,0,0
2012-09,North Wales Police,WCW14,0,0,0,0,10,1,0,1,0,0,0
2012-09,North Wales Police,WCW15,0,0,0,1,8,4,0,0,0,0,0
2012-09,North Wales Police,GSW31,0,0,0,1,0,0,0,0,0,0,0
2012-09,North Wales Police,GSW30,1,0,0,0,1,0,0,0,1,0,0
2012-09,North Wales Police,GSW33,3,0,0,3,8,1,1,3,1,1,0
2012-09,North Wales Police,GSW29,0,0,0,2,3,1,0,3,0,0,0
2012-09,North Wales Police,GSW35,0,0,0,1,3,2,1,2,1,0,0
2012-09,North Wales Police,GSW34,0,0,1,0,1,0,0,0,0,0,0
2012-09,North Wales Police,GSW37,0,0,2,1,1,1,0,0,0,0,0
2012-09,North Wales Police,GSW36,2,0,0,0,5,1,0,0,0,0,0
2012-09,North Wales Police,GSW39,0,0,0,3,8,0,0,1,2,0,0
2012-09,North Wales Police,GSW38,0,0,0,2,1,1,0,2,0,0,0
2012-09,North Wales Police,CRW25,0,0,0,0,0,0,0,0,0,0,0
2012-09,North Wales Police,FSW13,1,0,0,3,9,1,0,2,0,0,0
2012-09,North Wales Police,FSW10,0,0,2,2,4,0,5,2,0,0,0
2012-09,North Wales Police,CRW26,0,0,0,1,3,0,0,1,0,0,0
2012-09,North Wales Police,CRW21,1,0,0,0,2,0,0,1,0,0,0
2012-09,North Wales Police,CRW20,0,0,0,2,0,0,0,0,0,0,0
2012-09,North Wales Police,CRW23,1,0,0,2,8,1,0,0,0,1,1
2012-09,North Wales Police,CRW22,0,0,0,1,0,1,0,1,0,0,0
2012-09,North Wales Police,FSW18,1,0,0,1,6,2,0,2,0,0,0
2012-09,North Wales Police,FSW19,2,0,1,1,10,3,0,1,0,1,1
2012-09,North Wales Police,CRW28,0,0,2,1,2,3,1,1,1,0,0
